Rank,LogoUrl,Name,MatchesPlayed,Wins,Draws,Losses,GoalBalance,GoalDifference,Points
1.,https://static.flashscore.com/res/image/data/G0q9xjRq-b92lfEJC.png,Brighton,1,1,0,0,3:0,3,3
2.,https://static.flashscore.com/res/image/data/0n1ffK6k-vcNAdtF9.png,Arsenal,1,1,0,0,2:0,2,3
3.,https://static.flashscore.com/res/image/data/x82JgBjC-feQECFUo.png,Liverpool,1,1,0,0,2:0,2,3
4.,https://static.flashscore.com/res/image/data/0vgscFU0-lQuhqN8N.png,Manchester City,1,1,0,0,2:0,2,3
5.,https://static.flashscore.com/res/image/data/UHchCEVH-UTYC4Dd6.png,Aston Villa,1,1,0,0,2:1,1,3
6.,https://static.flashscore.com/res/image/data/SjSCLv86-r9Mudk7j.png,Brentford,1,1,0,0,2:1,1,3
7.,https://static.flashscore.com/res/image/data/GhGV3qjT-UPrTWfIe.png,Manchester Utd,1,1,0,0,1:0,1,3
8.,https://static.flashscore.com/res/image/data/UXo7VXPq-ImMEe0UF.png,Newcastle,1,1,0,0,1:0,1,3
9.,https://static.flashscore.com/res/image/data/v3SzDxVH-SOY3p1Si.png,Tottenham,1,0,1,0,1:1,0,1
10.,https://static.flashscore.com/res/image/data/CvL5rhhT-UNZg5BP0.png,Leicester,1,0,1,0,1:1,0,1
11.,https://static.flashscore.com/res/image/data/C60HMWTH-tCGtX12c.png,Bournemouth,1,0,1,0,1:1,0,1
12.,https://static.flashscore.com/res/image/data/86ODdyle-ImKwLTtA.png,Nottingham,1,0,1,0,1:1,0,1
13.,https://static.flashscore.com/res/image/data/YeSfKGlC-ARW4wdCc.png,West Ham,1,0,0,1,1:2,-1,0
14.,https://static.flashscore.com/res/image/data/GfkvlLmC-pzMOQXRe.png,Crystal Palace,1,0,0,1,1:2,-1,0
15.,https://static.flashscore.com/res/image/data/fkbYUWme-ImMEe0UF.png,Fulham,1,0,0,1,0:1,-1,0
16.,https://static.flashscore.com/res/image/data/2VvVDtSq-UNZg5BP0.png,Southampton,1,0,0,1,0:1,-1,0
17.,https://static.flashscore.com/res/image/data/lMxEQ8me-IROrZEJb.png,Chelsea,1,0,0,1,0:2,-2,0
18.,https://static.flashscore.com/res/image/data/r9vl4eQq-jXzj6iAf.png,Ipswich,1,0,0,1,0:2,-2,0
19.,https://static.flashscore.com/res/image/data/OMUzjDkC-CjV6Eptm.png,Wolves,1,0,0,1,0:2,-2,0
20.,https://static.flashscore.com/res/image/data/EBfZuwme-bRmKmISE.png,Everton,1,0,0,1,0:3,-3,0
