Rank,LogoUrl,Name,MatchesPlayed,Wins,Draws,Losses,GoalBalance,GoalDifference,Points
1.,https://static.flashscore.com/res/image/data/8na9rjme-KxxHBfzK.png,Bolivar,11,7,3,1,23:4,19,24
2.,https://static.flashscore.com/res/image/data/bPKdT9hT-0rjUYb4J.png,The Strongest,11,6,3,2,17:12,5,21
3.,https://static.flashscore.com/res/image/data/tplAvBme-pW5QnAsm.png,Blooming,12,7,0,5,16:13,3,21
4.,https://static.flashscore.com/res/image/data/2uGH31A6-vDimPjdq.png,Tomayapo,12,6,2,4,17:13,4,20
5.,https://static.flashscore.com/res/image/data/OCSgRMR0-dAJb3Ws0.png,Oriente Petrolero,12,6,1,5,14:15,-1,19
6.,https://static.flashscore.com/res/image/data/IurZTh6k-Ycu4vmIa.png,Always Ready,11,5,3,3,13:8,5,18
7.,https://static.flashscore.com/res/image/data/8hQzvG7k-COG61ACC.png,Wilstermann,12,5,3,4,10:8,2,18
8.,https://static.flashscore.com/res/image/data/hQ63dh6k-ht99hStl.png,Nacional Potosi,12,5,3,4,17:18,-1,18
9.,https://static.flashscore.com/res/image/data/UZgMUF7k-YB0DoGZt.png,Aurora,12,3,7,2,17:15,2,16
10.,https://static.flashscore.com/res/image/data/d4ApqgBN-n1DuNlNS.png,Independiente,12,4,4,4,20:22,-2,16
11.,https://static.flashscore.com/res/image/data/8rhZC0jC-OAKJ6fWq.png,Universitario de Vinto,12,4,3,5,15:17,-2,15
12.,https://static.flashscore.com/res/image/data/Yi2c2PjC-4rTQguij.png,GV San Jose,12,4,2,6,17:19,-2,14
13.,https://static.flashscore.com/res/image/data/EZ3mVFhT-v1a52Z84.png,SA Bulo Bulo,11,4,2,5,12:17,-5,14
14.,https://static.flashscore.com/res/image/data/Ob2yIBU0-bBmbEeWs.png,Royal Pari,11,2,3,6,10:15,-5,9
15.,https://static.flashscore.com/res/image/data/fiIwCWR0-0rjUYb4J.png,Guabira,12,2,3,7,13:21,-8,9
16.,https://static.flashscore.com/res/image/data/x4XL32kC-2mUJtJRG.png,Santa Cruz,11,1,2,8,8:22,-14,5
