Rank,LogoUrl,Name,MatchesPlayed,Wins,Draws,Losses,GoalBalance,GoalDifference,Points
1.,https://static.flashscore.com/res/image/data/t6Kb5X76-voNnDKJK.png,Marsylia,1,1,0,0,5:1,4,3
2.,https://static.flashscore.com/res/image/data/fJgGn26k-06Ua3sOf.png,PSG,1,1,0,0,4:1,3,3
3.,https://static.flashscore.com/res/image/data/pnrF2X76-Y5eozcI6.png,Rennes,1,1,0,0,3:0,3,3
4.,https://static.flashscore.com/res/image/data/Q34pXImC-UDticXKP.png,Lille,1,1,0,0,2:0,2,3
5.,https://static.flashscore.com/res/image/data/4tdLdYlC-tY3UBVrm.png,Auxerre,1,1,0,0,2:1,1,3
6.,https://static.flashscore.com/res/image/data/n3jLkyne-44KQTmnj.png,Monaco,1,1,0,0,1:0,1,3
7.,https://static.flashscore.com/res/image/data/tAec9KQq-rTEFAmVL.png,Lens,1,1,0,0,1:0,1,3
8.,https://static.flashscore.com/res/image/data/2XOhzSQq-lAc5wKNp.png,Strasbourg,1,0,1,0,1:1,0,1
9.,https://static.flashscore.com/res/image/data/ANGNZlQq-n3xBmVJB.png,Montpellier,1,0,1,0,1:1,0,1
10.,https://static.flashscore.com/res/image/data/AskYUH8k-COxgbCEm.png,Toulouse,1,0,1,0,0:0,0,1
11.,https://static.flashscore.com/res/image/data/vTVURLne-YBWLmubi.png,Nantes,1,0,1,0,0:0,0,1
12.,https://static.flashscore.com/res/image/data/bJCGymle-00sqJmg8.png,Nice,1,0,0,1,1:2,-1,0
13.,https://static.flashscore.com/res/image/data/SvNL7CBN-8Ca53MKO.png,St. Etienne,1,0,0,1,0:1,-1,0
14.,https://static.flashscore.com/res/image/data/IN9Ib7jT-z9nPuk2r.png,Angers,1,0,0,1,0:1,-1,0
15.,https://static.flashscore.com/res/image/data/fgcfKf86-8Cw7lB45.png,Reims,1,0,0,1,0:2,-2,0
16.,https://static.flashscore.com/res/image/data/SdQTDNR0-W0g3UmAF.png,Le Havre,1,0,0,1,1:4,-3,0
17.,https://static.flashscore.com/res/image/data/bkuX6RS0-GU4hlIMk.png,Lyon,1,0,0,1,0:3,-3,0
18.,https://static.flashscore.com/res/image/data/lWu2w4ne-Q15G9lAm.png,Brest,1,0,0,1,1:5,-4,0
