Rank,LogoUrl,Name,MatchesPlayed,Wins,Draws,Losses,GoalBalance,GoalDifference,Points
1.,https://static.flashscore.com/res/image/data/INW8oRBN-SOY3p1Si.png,Celta Vigo,1,1,0,0,2:1,1,3
2.,https://static.flashscore.com/res/image/data/QyKcNfhT-EPWyZtpb.png,Vallecano,1,1,0,0,2:1,1,3
3.,https://static.flashscore.com/res/image/data/jZ8dSYS0-fcDVLdrL.png,Barcelona,1,1,0,0,2:1,1,3
4.,https://static.flashscore.com/res/image/data/GvWsl3Sq-WWPrsZWC.png,Valladolid,1,1,0,0,1:0,1,3
5.,https://static.flashscore.com/res/image/data/n3rngiU0-8f6Hj6B0.png,Las Palmas,1,0,1,0,2:2,0,1
6.,https://static.flashscore.com/res/image/data/EBxZSOjT-Kbq9kfg1.png,Villarreal,1,0,1,0,2:2,0,1
7.,https://static.flashscore.com/res/image/data/Kv2QSkhT-nLBjwR1F.png,Atl. Madryt,1,0,1,0,2:2,0,1
8.,https://static.flashscore.com/res/image/data/EcTGi086-YmCZKGcR.png,Sevilla,1,0,1,0,2:2,0,1
9.,https://static.flashscore.com/res/image/data/CGPhnpne-fcDVLdrL.png,Real Madryt,1,0,1,0,1:1,0,1
10.,https://static.flashscore.com/res/image/data/WKsw8cne-rmDEjevK.png,Mallorca,1,0,1,0,1:1,0,1
11.,https://static.flashscore.com/res/image/data/GUtNYAWH-vJb36ZBF.png,Ath. Bilbao,1,0,1,0,1:1,0,1
12.,https://static.flashscore.com/res/image/data/YV7lpDU0-zkU5wiAr.png,Betis,1,0,1,0,1:1,0,1
13.,https://static.flashscore.com/res/image/data/hGMWMdT0-YmCZKGcR.png,Getafe,1,0,1,0,1:1,0,1
14.,https://static.flashscore.com/res/image/data/UTfY3r86-xQnxBzcF.png,Osasuna,1,0,1,0,1:1,0,1
15.,https://static.flashscore.com/res/image/data/6mZj79BN-vPm0hQMN.png,Girona,1,0,1,0,1:1,0,1
16.,https://static.flashscore.com/res/image/data/C4WkaSlC-Q3zX1dyT.png,Leganes,1,0,1,0,1:1,0,1
17.,https://static.flashscore.com/res/image/data/rcAkl5le-vJb36ZBF.png,Real Sociedad,1,0,0,1,1:2,-1,0
18.,https://static.flashscore.com/res/image/data/4rBxR4R0-4U3vjZKk.png,Alaves,1,0,0,1,1:2,-1,0
19.,https://static.flashscore.com/res/image/data/8Cqphq8k-MHrRLNUo.png,Valencia,1,0,0,1,1:2,-1,0
20.,https://static.flashscore.com/res/image/data/QeCoIpXH-8GL0cHSF.png,Espanyol,1,0,0,1,0:1,-1,0
