Rank,LogoUrl,Name,MatchesPlayed,Wins,Draws,Losses,GoalBalance,GoalDifference,Points
1.,https://static.flashscore.com/res/image/data/0OMJUule-ncmj9JbF.png,1. FC Union Berlin,0,0,0,0,0:0,0,0
2.,https://static.flashscore.com/res/image/data/8K98UZoe-EcK7yLm6.png,Kiel,0,0,0,0,0:0,0,0
3.,https://static.flashscore.com/res/image/data/2aegVtQq-86lnAaq9.png,Eintracht Frankfurt,0,0,0,0,0:0,0,0
4.,https://static.flashscore.com/res/image/data/lWGBVoA6-xQOIafxi.png,Bayern Monachium,0,0,0,0,0:0,0,0
5.,https://static.flashscore.com/res/image/data/dWZYQIPq-WrjrBuU2.png,Bayer Leverkusen,0,0,0,0,0:0,0,0
6.,https://static.flashscore.com/res/image/data/pIavfLS0-EVomMG4o.png,Werder Brema,0,0,0,0,0:0,0,0
7.,https://static.flashscore.com/res/image/data/2cDrWAS0-KjF1j4v3.png,VfL Wolfsburg,0,0,0,0,0:0,0,0
8.,https://static.flashscore.com/res/image/data/IRiimykC-86lnAaq9.png,Bochum,0,0,0,0,0:0,0,0
9.,https://static.flashscore.com/res/image/data/xSfDCO76-WrjrBuU2.png,Borussia Dortmund,0,0,0,0,0:0,0,0
10.,https://static.flashscore.com/res/image/data/tjlAHwhT-ncmj9JbF.png,B. Moenchengladbach,0,0,0,0,0:0,0,0
11.,https://static.flashscore.com/res/image/data/IyZBMF7k-n7lWn9DL.png,TSG Hoffenheim,0,0,0,0,0:0,0,0
12.,https://static.flashscore.com/res/image/data/tbR3gUTH-xYC9lr9F.png,1. FSV Mainz 05,0,0,0,0,0:0,0,0
13.,https://static.flashscore.com/res/image/data/0pdxCFiT-86lnAaq9.png,SC Freiburg,0,0,0,0,0:0,0,0
14.,https://static.flashscore.com/res/image/data/QHdIUX96-ncmj9JbF.png,St. Pauli,0,0,0,0,0:0,0,0
15.,https://static.flashscore.com/res/image/data/Qgbz4piC-Qmnf8wEL.png,FC Augsburg,0,0,0,0,0:0,0,0
16.,https://static.flashscore.com/res/image/data/fgQWGn86-86lnAaq9.png,VfB Stuttgart,0,0,0,0,0:0,0,0
17.,https://static.flashscore.com/res/image/data/UH4XQKBN-ncNaLxYl.png,Heidenheim,0,0,0,0,0:0,0,0
18.,https://static.flashscore.com/res/image/data/fNS5fTmC-WvvSE8Dm.png,RB Lipsk,0,0,0,0,0:0,0,0
