Rank,LogoUrl,Name,MatchesPlayed,Wins,Draws,Losses,GoalBalance,GoalDifference,Points
1.,https://static.flashscore.com/res/image/data/z3aHqFBN-rg6usZns.png,Atalanta,1,1,0,0,4:0,4,3
2.,https://static.flashscore.com/res/image/data/xxLGMOlC-EXzXDYgS.png,Juventus,1,1,0,0,3:0,3,3
3.,https://static.flashscore.com/res/image/data/YDLnjflC-jLhuIlpK.png,Verona,1,1,0,0,3:0,3,3
4.,https://static.flashscore.com/res/image/data/4CLpo27k-fL3dmxxd.png,Lazio,1,1,0,0,3:1,2,3
5.,https://static.flashscore.com/res/image/data/S48z3Poe-hCD6m1R3.png,Genoa,1,0,1,0,2:2,0,1
6.,https://static.flashscore.com/res/image/data/fLNbBiQq-jDrBQiMS.png,Inter,1,0,1,0,2:2,0,1
7.,https://static.flashscore.com/res/image/data/WOOHTbSq-fL3dmxxd.png,AC Milan,1,0,1,0,2:2,0,1
8.,https://static.flashscore.com/res/image/data/dhGobOA6-0lwy4Ij1.png,Torino,1,0,1,0,2:2,0,1
9.,https://static.flashscore.com/res/image/data/6ovaa9T0-McvX4bye.png,Bologna,1,0,1,0,1:1,0,1
10.,https://static.flashscore.com/res/image/data/277EtfPq-SYw7EcY6.png,Udinese,1,0,1,0,1:1,0,1
11.,https://static.flashscore.com/res/image/data/fZhEFLjT-6XKdgOM6.png,Fiorentina,1,0,1,0,1:1,0,1
12.,https://static.flashscore.com/res/image/data/WI9nVggT-fydXzLY6.png,Parma,1,0,1,0,1:1,0,1
13.,https://static.flashscore.com/res/image/data/Mk897YAN-nedmW6cD.png,Monza,1,0,1,0,0:0,0,1
14.,https://static.flashscore.com/res/image/data/j31Z1pne-GtNb9h2q.png,AS Roma,1,0,1,0,0:0,0,1
15.,https://static.flashscore.com/res/image/data/tSQII3hT-McvX4bye.png,Cagliari,1,0,1,0,0:0,0,1
16.,https://static.flashscore.com/res/image/data/8ftWPVPq-KbH8aCLf.png,Empoli,1,0,1,0,0:0,0,1
17.,https://static.flashscore.com/res/image/data/4lQfQQmC-pC7LdTYL.png,Venezia,1,0,0,1,1:3,-2,0
18.,https://static.flashscore.com/res/image/data/tSuMfRjT-Qcs4tGVj.png,Napoli,1,0,0,1,0:3,-3,0
19.,https://static.flashscore.com/res/image/data/4pxypIS0-WlysoYI2.png,Como,1,0,0,1,0:3,-3,0
20.,https://static.flashscore.com/res/image/data/fPabg0DN-McvX4bye.png,Lecce,1,0,0,1,0:4,-4,0
