Rank,LogoUrl,Name,MatchesPlayed,Wins,Draws,Losses,GoalBalance,GoalDifference,Points
1.,https://static.flashscore.com/res/image/data/IZbyGkne-KdpWArUq.png,Bruk-Bet T.,6,5,1,0,17:4,13,16
2.,https://static.flashscore.com/res/image/data/hQ6JNVA6-IRdZ5ayn.png,Stal Rzeszów,6,5,0,1,13:4,9,15
3.,https://static.flashscore.com/res/image/data/EDHOpbA6-UqLswWs8.png,Miedź Legnica,6,4,1,1,12:5,7,13
4.,https://static.flashscore.com/res/image/data/0EQSzzVH-foV023AC.png,Górnik Łęczna,5,4,1,0,10:5,5,13
5.,https://static.flashscore.com/res/image/data/KQKvxB96-Im0ZGDUi.png,Wisła Płock,6,4,1,1,10:8,2,13
6.,https://static.flashscore.com/res/image/data/hOmymMPq-noHf3TeA.png,Kotwica Kołobrzeg,6,3,2,1,7:4,3,11
7.,https://static.flashscore.com/res/image/data/84T5AbVH-SUsL3Ba2.png,Arka Gdynia,6,2,3,1,9:6,3,9
8.,https://static.flashscore.com/res/image/data/drmyK8WH-E9hpVUbf.png,GKS Tychy,6,1,5,0,4:3,1,8
9.,https://static.flashscore.com/res/image/data/W8c2b6T0-zN7pM03G.png,Znicz Pruszków,6,2,2,2,6:9,-3,8
10.,https://static.flashscore.com/res/image/data/ljPkRAjC-2FYvdV3F.png,Ruch Chorzów,6,1,4,1,6:6,0,7
11.,https://static.flashscore.com/res/image/data/n5tKCDPq-roxPpNg8.png,Odra Opole,6,2,1,3,7:9,-2,7
12.,https://static.flashscore.com/res/image/data/veWTtHjC-vZ6gsKf8.png,Wisła Kraków,4,1,2,1,6:5,1,5
13.,https://static.flashscore.com/res/image/data/ObAN8RTH-nTyzgi8g.png,Chrobry Głogów,6,1,2,3,5:11,-6,5
14.,https://static.flashscore.com/res/image/data/4ret8s86-6XISmDSl.png,ŁKS Łódź,5,1,1,3,6:8,-2,4
15.,https://static.flashscore.com/res/image/data/YT68vI8k-YwLXAjZC.png,Warta Poznań,6,1,1,4,5:14,-9,4
16.,https://static.flashscore.com/res/image/data/S2iV7IUH-tW2VhOvo.png,Stal Stalowa Wola,6,0,1,5,4:11,-7,1
17.,https://static.flashscore.com/res/image/data/460hCkjC-0AMo11wG.png,Pogoń Siedlce,6,0,1,5,4:11,-7,1
18.,https://static.flashscore.com/res/image/data/bVFpXwWH-pjvOeKFg.png,Polonia Warszawa,6,0,1,5,1:9,-8,1
