Rank,LogoUrl,Name,MatchesPlayed,Wins,Draws,Losses,GoalBalance,GoalDifference,Points
1.,https://static.flashscore.com/res/image/data/2NGVFvkC-Y74BTQZ8.png,Nioman Grodno,17,12,1,4,24:13,11,37
2.,https://static.flashscore.com/res/image/data/OK1DGfle-tfZLrcuD.png,Torpedo Żodzino,18,11,3,4,22:12,10,36
3.,https://static.flashscore.com/res/image/data/b7fEu6jT-xUKWlpRC.png,Dynamo Mińsk,15,10,5,0,28:8,20,35
4.,https://static.flashscore.com/res/image/data/UP5VqXiT-UB5lJy4R.png,Dynamo Brześć,18,9,5,4,38:18,20,32
5.,https://static.flashscore.com/res/image/data/2m0ScRTH-0p5LSfJD.png,FK Witebsk,18,8,5,5,19:14,5,29
6.,https://static.flashscore.com/res/image/data/WWjEcUR0-KtzYA4l8.png,Sławija Mozyrz,18,7,6,5,23:19,4,27
7.,https://static.flashscore.com/res/image/data/MiREO3Pq-ht99hStl.png,Gomel,18,6,7,5,24:15,9,25
8.,https://static.flashscore.com/res/image/data/C4pGm2BN-nRMsirZC.png,FK Słuck,18,8,1,9,20:33,-13,25
9.,https://static.flashscore.com/res/image/data/40no1L5k-nkFj4cFU.png,Arsienał Dzierżynsk,18,7,4,7,17:21,-4,25
10.,https://static.flashscore.com/res/image/data/ltdFb7Pq-WjYPq7GL.png,Isłacz Mińsk,18,6,6,6,19:16,3,24
11.,https://static.flashscore.com/res/image/data/juF3N0Qq-2uzi9uYj.png,BATE,18,5,5,8,18:19,-1,20
12.,https://static.flashscore.com/res/image/data/0MKnxujT-W0RU4ng8.png,Smorgonie,17,3,8,6,20:30,-10,17
13.,https://static.flashscore.com/res/image/data/zoSLtblC-E7NOD7nb.png,Naftan Nowopołock,16,3,7,6,17:22,-5,16
14.,https://static.flashscore.com/res/image/data/QJfZeMPq-6stKy7y0.png,FC Mińsk,17,1,6,10,10:25,-15,9
15.,https://static.flashscore.com/res/image/data/MgWcZ196-n3EODL5E.png,Dniapro Mohylew,18,1,5,12,15:35,-20,8
16.,https://static.flashscore.com/res/image/data/xMKnsKWH-vZlYXIJP.png,Szachcior Soligorsk,18,4,4,10,15:29,-14,-4
